episode,steps,reward,epsilon,max_q,avg100,lr
233,445,300.000,0.888882,5.73634,300.200,0.00022145
234,351,210.000,0.888549,6.90447,299.500,0.00022135
235,513,290.000,0.888062,5.71966,300.900,0.00022121
236,473,240.000,0.887612,6.49305,300.900,0.00022108
237,421,210.000,0.887212,6.17707,300.200,0.00022097
238,397,220.000,0.886835,5.49942,300.500,0.00022086
239,583,320.000,0.886281,6.85273,302.100,0.00022069
240,393,150.000,0.885908,6.33750,290.800,0.00022059
241,471,250.000,0.885460,6.91122,290.800,0.00022046
242,485,330.000,0.885000,7.01836,291.100,0.00022032
243,609,360.000,0.884421,6.64899,291.900,0.00022016
244,505,380.000,0.883941,6.41149,293.000,0.00022002
245,433,270.000,0.883530,6.79020,293.100,0.00021990
246,413,250.000,0.883138,6.89211,292.600,0.00021978
247,703,430.000,0.882470,6.35947,295.500,0.00021959
248,557,320.000,0.881941,6.33729,294.900,0.00021944
249,407,260.000,0.881554,7.33304,291.100,0.00021933
250,865,960.000,0.880732,6.39031,298.700,0.00021909
251,553,240.000,0.880207,6.91386,299.000,0.00021894
252,447,380.000,0.879782,6.28363,301.100,0.00021882
253,495,320.000,0.879312,6.67744,301.100,0.00021868
254,887,1110.000,0.878469,6.73481,308.600,0.00021844
255,567,310.000,0.877931,7.05023,309.400,0.00021828
256,405,250.000,0.877546,6.39784,309.200,0.00021817
257,511,420.000,0.877061,7.50813,310.400,0.00021803
258,613,320.000,0.876478,6.19551,311.800,0.00021787
259,501,290.000,0.876002,7.25507,312.600,0.00021773
260,421,310.000,0.875602,8.05879,307.700,0.00021762
261,325,150.000,0.875293,7.99028,307.400,0.00021753
262,505,290.000,0.874814,6.66730,308.700,0.00021739
263,665,510.000,0.874182,6.55527,312.400,0.00021721
264,797,770.000,0.873425,7.58819,319.400,0.00021699
265,533,340.000,0.872919,6.36961,320.700,0.00021685
266,493,360.000,0.872450,6.80299,319.800,0.00021671
267,587,580.000,0.871892,7.17333,322.500,0.00021656
268,437,170.000,0.871477,6.83938,321.000,0.00021644
269,481,310.000,0.871020,6.41996,322.100,0.00021631
270,477,230.000,0.870567,7.45896,321.300,0.00021618
271,451,340.000,0.870139,6.68211,322.500,0.00021606
272,481,310.000,0.869682,8.53726,323.600,0.00021593
273,541,340.000,0.869168,6.93657,324.800,0.00021578
274,403,160.000,0.868785,7.62575,324.100,0.00021567
275,471,310.000,0.868338,6.77077,326.100,0.00021555
276,653,420.000,0.867717,7.77464,327.800,0.00021537
277,685,300.000,0.867066,7.31548,329.000,0.00021519
278,495,300.000,0.866596,7.89062,329.400,0.00021505
279,411,290.000,0.866206,7.52783,329.300,0.00021494
280,507,300.000,0.865724,7.32488,329.700,0.00021480
281,543,280.000,0.865208,7.82488,329.900,0.00021466
282,485,250.000,0.864748,7.89350,330.100,0.00021453
283,389,170.000,0.864378,8.88276,329.300,0.00021443
284,475,220.000,0.863927,7.82334,328.800,0.00021430
